full_name;m  ;*=Y   ;Date/Time   ;IP max  ;PS max ;TS  ;Vel km/s ;Years     ;IP cum   ;PS cum ;a;e;i;om;w;q;ad;per_y;data_arc;condition_code;n_obs_used;n_del_obs_used;n_dop_obs_used;H;pha;spkid;pdes;name;prefix;neo;sats;G;M1;M2;K1;K2;PC;diameter;extent;albedo;rot_per;GM;BV;UB;IR;spec_B;spec_T;H_sigma;diameter_sigma;orbit_id;epoch;epoch_mjd;epoch_cal;equinox;ma;n;tp;tp_cal;per;moid;moid_ld;moid_jup;t_jup;sigma_e;sigma_a;sigma_q;sigma_i;sigma_om;sigma_w;sigma_ma;sigma_ad;sigma_n;sigma_tp;sigma_per;class;producer;first_obs;last_obs;rms;two_body;A1;A1_sigma;A2;A2_sigma;A3;A3_sigma;DT;DT_sigma
2023XZ13;8 ;*    ;2059-12-10 00:27 ;3.39E-5 ;-5.95 ;0 ;14.04  ;2059-2117 ;4.59E-5 ;-5.87 ;1.974;0.5184;1.19;77.43;333.30;0.951;3.00;2.77;2;8;21;;;28.43;N;54416857;2023 XZ13;;;Y;0;;;;;;;;;;;;;;;;;0.42;;JPL 2;2460294.5;60294;2023-12-16.0;J2000;9.39;0.3553;2460268.07;2023-11-19.5;1.01e+03;0.000188;0.0733;2.41;3.69;1.2e-03;4.6e-03;7.5e-05;2.1e-03;6.5e-04;9.3e-03;3.4e-02;7.0e-03;1.2e-03;2.8e-03;3.6e+00;APO;Otto Matic;2023-12-14;2023-12-16;.46799;;;;;;;;;
2023EE2;8 ;*    ;2113-03-11 07:00 ;3.11E-7 ;-8.45 ;0 ;15.38  ;2081-2121 ;6.81E-7 ;-8.09 ;1.975;0.5459;0.13;213.99;269.02;0.897;3.05;2.77;12;8;22;;;28.56;N;54347988;2023 EE2;;;Y;0;;;;;;;;;;;;;;;;;0.40;;JPL 4;2460023.5;60023;2023-03-20.0;J2000;15.49;0.3552;2459979.91;2023-02-04.4;1.01e+03;0.00161;0.628;2.05;3.67;7.7e-04;3.1e-03;8.8e-05;1.7e-04;5.0e-03;3.8e-03;4.1e-02;4.9e-03;8.5e-04;1.0e-02;2.4e+00;APO;Otto Matic;2023-03-13;2023-03-25;.51621;;;;;;;;;
2023HY;8 ;*    ;2098-04-14 18:57 ;7.18E-7 ;-7.78 ;0 ;18.82  ;2098-2100 ;1.33E-6 ;-7.51 ;1.762;0.5806;4.52;25.81;104.63;0.739;2.78;2.34;5;8;26;;;28.38;N;54354522;2023 HY;;;Y;0;;;;;;;;;;;;;;;;;0.50;;JPL 4;2460052.5;60052;2023-04-18.0;J2000;21.24;0.4215;2460002.11;2023-02-26.6;854;0.00244;0.949;2.3;3.9;7.2e-04;2.5e-03;2.0e-04;4.9e-03;2.8e-05;8.8e-04;5.5e-02;4.0e-03;9.1e-04;2.1e-02;1.8e+00;APO;Otto Matic;2023-04-16;2023-04-21;.46711;;;;;;;;;
2017UL52;8 ;*    ;2120-10-20 11:57 ;2.56E-11 ;-12.41 ;0 ;12.91  ;2106-2120 ;3.66E-11 ;-12.24 ;0.863;0.1700;10.54;27.22;191.69;0.716;1.01;0.802;;9;5;;;28.29;N;3791306;2017 UL52;;;Y;0;;;;;;;;;;;;;;;;;0.69;;JPL 5;2458047.5;58047;2017-10-21.0;J2000;164.46;1.229;2457913.73;2017-06-09.2;293;0.00928;3.61;3.96;6.82;6.1e-02;3.4e-02;8.1e-02;5.3e+00;1.2e-01;1.2e+01;1.9e+01;4.0e-02;7.2e-02;2.2e+01;1.7e+01;ATE;Otto Matic;2017-10-21;2017-10-21;.54089;;;;;;;;;
2021EW1;8 ;*    ;2103-03-07 06:55 ;1.36E-6 ;-7.72 ;0 ;14.24  ;2103-2103 ;1.36E-6 ;-7.72 ;2.269;0.5707;5.03;166.36;336.89;0.974;3.56;3.42;8;8;29;;;28.30;N;54130496;2021 EW1;;;Y;0;;;;;;;;;;;;;;;;;0.35;;JPL 6;2459283.5;59283;2021-03-10.0;J2000;6.16;0.2883;2459262.12;2021-02-16.6;1.25e+03;0.00651;2.53;1.48;3.37;1.0e-03;5.4e-03;1.7e-05;6.7e-03;9.2e-05;3.5e-04;2.4e-02;8.5e-03;1.0e-03;5.8e-03;4.5e+00;APO;Otto Matic;2021-03-07;2021-03-15;.49808;;;;;;;;;
2009EJ1;8 ;*    ;2039-11-09 05:52 ;4.77E-8 ;-8.41 ;0 ;15.55  ;2039-2118 ;2.67E-7 ;-7.98 ;1.599;0.4749;0.03;312.70;148.38;0.840;2.36;2.02;;9;21;;;28.40;N;3449133;2009 EJ1;;;Y;0;;;;;;;;;;;;;;;;;;;JPL 7;2454893.5;54893;2009-03-03.0;J2000;22.00;0.4873;2454848.36;2009-01-16.8;739;0.000188;0.0733;2.82;4.23;1.1e-02;2.7e-02;2.8e-03;3.7e-03;4.9e+00;5.0e+00;6.9e-01;4.0e-02;1.2e-02;2.6e-01;1.9e+01;APO;Otto Matic;2009-03-03;2009-03-03;.39596;;;;;;;;;
2013UJ5;8 ;*    ;2049-08-13 11:32 ;6.90E-9 ;-9.31 ;0 ;15.26  ;2049-2049 ;6.90E-9 ;-9.31 ;2.319;0.5950;0.33;191.33;162.10;0.939;3.70;3.53;6;8;21;;;28.02;N;3653251;2013 UJ5;;;Y;0;;;;;;;;;;;;;;;;;;;JPL 7;2456593.5;56593;2013-10-28.0;J2000;9.15;0.2791;2456560.73;2013-09-25.2;1.29e+03;0.00139;0.54;1.75;3.32;1.9e-03;1.0e-02;1.4e-04;6.6e-04;1.3e-02;2.5e-03;6.4e-02;1.6e-02;1.9e-03;1.0e-02;8.6e+00;APO;Otto Matic;2013-10-23;2013-10-29;.51431;;;;;;;;;
2007TX22;8 ;*    ;2060-10-12 05:48 ;2.08E-5 ;-6.28 ;0 ;14.23  ;2048-2087 ;4.95E-5 ;-5.95 ;1.594;0.4358;1.78;20.33;46.04;0.899;2.29;2.01;;9;22;;;28.40;N;3388076;2007 TX22;;;Y;0;;;;;;;;;;;;;;;;;;;JPL 8;2454384.5;54384;2007-10-11.0;J2000;341.15;0.49;2454422.96;2007-11-18.4;735;0.000888;0.346;3.05;4.26;4.0e-03;9.9e-03;8.3e-04;3.6e-02;6.0e-02;1.0e-01;2.0e-01;1.4e-02;4.6e-03;5.1e-02;6.8e+00;APO;Otto Matic;2007-10-11;2007-10-11;.43721;;;;;;;;;
2008GF1;8 ;*    ;2080-04-07 12:21 ;7.14E-8 ;-8.68 ;0 ;18.39  ;2080-2080 ;7.14E-8 ;-8.68 ;1.212;0.4633;1.55;16.64;277.49;0.650;1.77;1.33;1;8;17;;;28.28;N;3408173;2008 GF1;;;Y;0;;;;;;;;;;;;;;;;;;;JPL 9;2454562.5;54562;2008-04-06.0;J2000;315.39;0.7387;2454622.88;2008-06-05.3;487;0.000654;0.254;3.44;5.15;9.6e-04;1.2e-03;4.9e-04;3.3e-03;2.7e-04;1.5e-03;1.1e-01;1.8e-03;1.1e-03;5.2e-02;7.5e-01;APO;Otto Matic;2008-04-05;2008-04-06;.22211;;;;;;;;;
2009WQ52;8 ;*    ;2037-11-19 14:47 ;7.32E-8 ;-8.01 ;0 ;18.51  ;2037-2037 ;7.32E-8 ;-8.01 ;2.574;0.6606;5.78;61.32;49.07;0.874;4.27;4.13;2;8;21;;;28.10;N;3478351;2009 WQ52;;;Y;0;;;;;;;;;;;;;;;;;;;JPL 9;2455159.5;55159;2009-11-24.0;J2000;351.68;0.2387;2455194.34;2009-12-28.8;1.51e+03;0.00737;2.87;0.951;3.07;1.2e-03;8.8e-03;1.4e-04;8.0e-03;4.7e-04;3.3e-03;4.6e-02;1.5e-02;1.2e-03;1.4e-02;7.8e+00;APO;Otto Matic;2009-11-23;2009-11-25;.38278;;;;;;;;;
